classificacao;conta;ano1;ano2
ativo;ativo circulante;27.050;30.700
ativo;caixa e equivalentes de caixa;7.400;5.440
ativo;aplicações financeiras;5.750;3.860
ativo;contas a eeceber;2.900;4.760
ativo;estoques;6.400;9.700
ativo;tributos a recuperar;3.200;4.450
ativo;despesas antecipadas;1.400;2.490
ativo;ativo não circulante;14.135;16.475
ativo;ativo realizável a longo prazo;1.700;1.850
ativo;investimentos;3.540;4.865
ativo;imobilizado;6.350;7.120
ativo;intangível;2.545;2.640
ativo;total ativo;41.185;47.175
passivoepl;passivo circulante;18.020;25.533
passivoepl;obrigações sociais e trabalhistas;3.540;4.275
passivoepl;fornecedores;7.550;10.318
passivoepl;obrigações fiscais;1.830;2.150
passivoepl;empréstimos e financiamentos cp;5.100;8.790
passivoepl;passivo não circulante;12.225;13.338
passivoepl;empréstimos e financiamentos lp;12.225;13.338
passivoepl;patrimônio líquido;10.940;8.304
passivoepl;capital social realizado;10.000;5.460
passivoepl;reservas de capital;730;915
passivoepl;reservas de lucros;170;1.574
passivoepl;outros resultados abrangentes;40;355
passivoepl;total passivo pl;41.185;47.175
